region_name,latitude,longitude,year,employee_count,housing_starts,housing_completions,starts_per_worker,avg_annual_salary_gbp,avg_day_rate_low,avg_day_rate_high,avg_day_rate_mid,prev_year_starts,starts_yoy_pct,employment_yoy_pct
East Midlands,52.790,-0.850,2018,59000,14960,15890,0.25,39842,200,300,250,,,
East Midlands,52.790,-0.850,2019,63000,15090,16390,0.24,39842,200,300,250,14960,0.9,6.8
East Midlands,52.790,-0.850,2020,49000,13420,14230,0.27,39842,200,300,250,15090,-11.1,-22.2
East Midlands,52.790,-0.850,2021,54000,20450,17500,0.38,39842,200,300,250,13420,52.4,10.2
East Midlands,52.790,-0.850,2022,73000,21340,18760,0.29,39842,200,300,250,20450,4.4,35.2
East Midlands,52.790,-0.850,2023,48000,16670,18800,0.35,39842,200,300,250,21340,-21.9,-34.2
East Midlands,52.790,-0.850,2024,58000,13420,16860,0.23,39842,200,300,250,16670,-19.5,20.8
East of England,52.240,0.500,2018,81000,19560,19220,0.24,37539,220,350,285,,,
East of England,52.240,0.500,2019,93000,19700,22050,0.21,37539,220,350,285,19560,0.7,14.8
East of England,52.240,0.500,2020,108000,17970,18300,0.17,37539,220,350,285,19700,-8.8,16.1
East of England,52.240,0.500,2021,89000,24410,21110,0.27,37539,220,350,285,17970,35.8,-17.6
East of England,52.240,0.500,2022,113000,24800,24660,0.22,37539,220,350,285,24410,1.6,27
East of England,52.240,0.500,2023,91000,19070,23860,0.21,37539,220,350,285,24800,-23.1,-19.5
East of England,52.240,0.500,2024,104000,17170,21680,0.17,37539,220,350,285,19070,-10,14.3
London,51.510,-0.130,2018,77000,15180,19490,0.2,41318,300,400,350,,,
London,51.510,-0.130,2019,89000,12630,22020,0.14,41318,300,400,350,15180,-16.8,15.6
London,51.510,-0.130,2020,80000,14400,20380,0.18,41318,300,400,350,12630,14,-10.1
London,51.510,-0.130,2021,97000,17870,17760,0.18,41318,300,400,350,14400,24.1,21.3
London,51.510,-0.130,2022,75000,21660,21130,0.29,41318,300,400,350,17870,21.2,-22.7
London,51.510,-0.130,2023,82000,15070,16120,0.18,41318,300,400,350,21660,-30.4,9.3
London,51.510,-0.130,2024,80000,4170,19020,0.05,41318,300,400,350,15070,-72.3,-2.4
North East,54.890,-1.680,2018,32000,9020,9030,0.28,38000,200,270,235,,,
North East,54.890,-1.680,2019,28000,7050,8160,0.25,38000,200,270,235,9020,-21.8,-12.5
North East,54.890,-1.680,2020,30000,7680,7170,0.26,38000,200,270,235,7050,8.9,7.1
North East,54.890,-1.680,2021,34000,9270,8340,0.27,38000,200,270,235,7680,20.7,13.3
