year,region_id,starts,completions
2018,E12000001,9020,9030
2018,E12000002,22420,20210
2018,E12000003,14360,13970
2018,E12000004,14960,15890
2018,E12000005,17200,16760
2018,E12000006,19560,19220
2018,E12000007,15180,19490
2018,E12000008,31320,32010
2018,E12000009,18830,20300
2019,E12000001,7050,8160
2019,E12000002,19420,21380
2019,E12000003,12020,14370
2019,E12000004,15090,16390
2019,E12000005,15700,16790
2019,E12000006,19700,22050
2019,E12000007,12630,22020
2019,E12000008,27610,32520
2019,E12000009,17020,19900
2020,E12000001,7680,7170
2020,E12000002,16670,19970
2020,E12000003,11930,13390
2020,E12000004,13420,14230
2020,E12000005,14410,15150
2020,E12000006,17970,18300
2020,E12000007,14400,20380
2020,E12000008,25010,27140
2020,E12000009,17010,16560
2021,E12000001,9270,8340
2021,E12000002,19240,22860
2021,E12000003,14780,13350
2021,E12000004,20450,17500
2021,E12000005,16170,17380
2021,E12000006,24410,21110
2021,E12000007,17870,17760
2021,E12000008,31770,31460
2021,E12000009,19880,19430
2022,E12000001,9120,8590
2022,E12000002,19430,19170
2022,E12000003,12790,13980
2022,E12000004,21340,18760
2022,E12000005,15700,16290
2022,E12000006,24800,24660
2022,E12000007,21660,21130
2022,E12000008,30490,30960
2022,E12000009,20430,20430
2023,E12000001,7700,7980
2023,E12000002,17340,18810
2023,E12000003,10320,14010
2023,E12000004,16670,18800
2023,E12000005,11660,14340
2023,E12000006,19070,23860
2023,E12000007,15070,16120
2023,E12000008,23200,26730
2023,E12000009,14780,17830
2024,E12000001,7340,7920
2024,E12000002,12920,19390
2024,E12000003,9420,11400
2024,E12000004,13420,16860
2024,E12000005,10090,12580
2024,E12000006,17170,21680
2024,E12000007,4170,19020
2024,E12000008,23100,24610
2024,E12000009,13690,16320
